Code	Site	Block	Plot	Point	Treatment	Depth	Date	SWC
82	Gamir	3	4	3	Drought	20	12/01/2016	20.2
83	Gamir	3	4	3	Drought	30	12/01/2016	24.2
84	Gamir	3	4	3	Drought	40	12/01/2016	21.9
85	Gamir	3	4	4	Drought	10	12/01/2016	28.3
86	Gamir	3	4	4	Drought	20	12/01/2016	22.2
87	Gamir	3	4	4	Drought	30	12/01/2016	18.0
88	Gamir	3	4	4	Drought	40	12/01/2016	17.4
89	Gamir	3	4	5	Drought	10	12/01/2016	NA
90	Gamir	3	4	5	Drought	20	12/01/2016	NA
91	Gamir	3	4	5	Drought	30	12/01/2016	NA
92	Gamir	3	4	5	Drought	40	12/01/2016	NA
93	Gamir	3	4	6	Drought	10	12/01/2016	NA
94	Gamir	3	4	6	Drought	20	12/01/2016	NA
95	Gamir	3	4	6	Drought	30	12/01/2016	NA
96	Gamir	3	4	6	Drought	40	12/01/2016	NA
97	Gamir	3	5	1	Control	10	12/01/2016	23.8
98	Gamir	3	5	1	Control	20	12/01/2016	25.4
99	Gamir	3	5	1	Control	30	12/01/2016	24.5
100	Gamir	3	5	1	Control	40	12/01/2016	25.9
101	Gamir	3	5	2	Control	10	12/01/2016	18.1
102	Gamir	3	5	2	Control	20	12/01/2016	16.8
103	Gamir	3	5	2	Control	30	12/01/2016	15.9
104	Gamir	3	5	2	Control	40	12/01/2016	12.7
105	Gamir	3	5	3	Control	10	12/01/2016	15.7
106	Gamir	3	5	3	Control	20	12/01/2016	27.2
107	Gamir	3	5	3	Control	30	12/01/2016	25.7
108	Gamir	3	5	3	Control	40	12/01/2016	23.6
109	Gamir	3	5	4	Control	10	12/01/2016	23.4
110	Gamir	3	5	4	Control	20	12/01/2016	21.9
111	Gamir	3	5	4	Control	30	12/01/2016	28.7
112	Gamir	3	5	4	Control	40	12/01/2016	23.1
113	Gamir	3	5	5	Control	10	12/01/2016	NA
114	Gamir	3	5	5	Control	20	12/01/2016	NA
115	Gamir	3	5	5	Control	30	12/01/2016	NA
116	Gamir	3	5	5	Control	40	12/01/2016	NA
117	Gamir	3	5	6	Control	10	12/01/2016	NA
118	Gamir	3	5	6	Control	20	12/01/2016	NA
119	Gamir	3	5	6	Control	30	12/01/2016	NA
120	Gamir	3	5	6	Control	40	12/01/2016	NA
121	Gamir	1	6	1	Drought	10	12/01/2016	27.6
122	Gamir	1	6	1	Drought	20	12/01/2016	27.1
123	Gamir	1	6	1	Drought	30	12/01/2016	23.1
124	Gamir	1	6	1	Drought	40	12/01/2016	21.6
125	Gamir	1	6	2	Drought	10	12/01/2016	28.0
126	Gamir	1	6	2	Drought	20	12/01/2016	25.6
127	Gamir	1	6	2	Drought	30	12/01/2016	17.6
128	Gamir	1	6	2	Drought	40	12/01/2016	25.0
129	Gamir	1	6	3	Drought	10	12/01/2016	24.1
130	Gamir	1	6	3	Drought	20	12/01/2016	18.4
131	Gamir	1	6	3	Drought	30	12/01/2016	23.8
132	Gamir	1	6	3	Drought	40	12/01/2016	17.7
133	Gamir	1	6	4	Drought	10	12/01/2016	26.6
134	Gamir	1	6	4	Drought	20	12/01/2016	22.9
135	Gamir	1	6	4	Drought	30	12/01/2016	16.5
136	Gamir	1	6	4	Drought	40	12/01/2016	15.5
137	Gamir	1	6	5	Drought	10	12/01/2016	NA
138	Gamir	1	6	5	Drought	20	12/01/2016	NA
139	Gamir	1	6	5	Drought	30	12/01/2016	NA
140	Gamir	1	6	5	Drought	40	12/01/2016	NA
141	Gamir	1	6	6	Drought	10	12/01/2016	NA
142	Gamir	1	6	6	Drought	20	12/01/2016	NA
143	Gamir	1	6	6	Drought	30	12/01/2016	NA
144	Gamir	1	6	6	Drought	40	12/01/2016	NA
1	Gamir	1	1	1	Control	10	12/02/2016	32.2
2	Gamir	1	1	1	Control	20	12/02/2016	34.3
3	Gamir	1	1	1	Control	30	12/02/2016	31.6
4	Gamir	1	1	1	Control	40	12/02/2016	31.1
5	Gamir	1	1	2	Control	10	12/02/2016	30.0
6	Gamir	1	1	2	Control	20	12/02/2016	28.5
7	Gamir	1	1	2	Control	30	12/02/2016	31.7
8	Gamir	1	1	2	Control	40	12/02/2016	28.5
9	Gamir	1	1	3	Control	10	12/02/2016	24.5
10	Gamir	1	1	3	Control	20	12/02/2016	26.3
11	Gamir	1	1	3	Control	30	12/02/2016	31.4
12	Gamir	1	1	3	Control	40	12/02/2016	30.5
13	Gamir	1	1	4	Control	10	12/02/2016	32.1
14	Gamir	1	1	4	Control	20	12/02/2016	26.1
15	Gamir	1	1	4	Control	30	12/02/2016	24.9
16	Gamir	1	1	4	Control	40	12/02/2016	32.7
17	Gamir	1	1	5	Control	10	12/02/2016	NA
18	Gamir	1	1	5	Control	20	12/02/2016	NA
19	Gamir	1	1	5	Control	30	12/02/2016	NA
20	Gamir	1	1	5	Control	40	12/02/2016	NA
21	Gamir	1	1	6	Control	10	12/02/2016	NA
22	Gamir	1	1	6	Control	20	12/02/2016	NA
23	Gamir	1	1	6	Control	30	12/02/2016	NA
24	Gamir	1	1	6	Control	40	12/02/2016	NA
25	Gamir	2	2	1	Control	10	12/02/2016	26.5
26	Gamir	2	2	1	Control	20	12/02/2016	23.9
27	Gamir	2	2	1	Control	30	12/02/2016	26.3
28	Gamir	2	2	1	Control	40	12/02/2016	27.9
29	Gamir	2	2	2	Control	10	12/02/2016	27.2
30	Gamir	2	2	2	Control	20	12/02/2016	22.4
31	Gamir	2	2	2	Control	30	12/02/2016	23.3
32	Gamir	2	2	2	Control	40	12/02/2016	21.4
33	Gamir	2	2	3	Control	10	12/02/2016	17.6
34	Gamir	2	2	3	Control	20	12/02/2016	27.4
35	Gamir	2	2	3	Control	30	12/02/2016	28.0
36	Gamir	2	2	3	Control	40	12/02/2016	24.4
37	Gamir	2	2	4	Control	10	12/02/2016	21.7
38	Gamir	2	2	4	Control	20	12/02/2016	19.5
39	Gamir	2	2	4	Control	30	12/02/2016	20.8
40	Gamir	2	2	4	Control	40	12/02/2016	20.5
41	Gamir	2	2	5	Control	10	12/02/2016	NA
42	Gamir	2	2	5	Control	20	12/02/2016	NA
43	Gamir	2	2	5	Control	30	12/02/2016	NA
